部品№,品名,規格,棚番
122492,２軸デジタルサーボドライバー　　　　　,MSUA-12MA,1F-I-06
122493,２軸デジタルサーボドライバー　　　　　,MSUA-12LA,1F-I-06
196742,ＡＣサーボモータ　　　　　　　　　　　,TS4609N3380E200,1F-I-06
181188,メイン基板　　　　　　　　　　　　　　,SF1M 37429-PR02 (STEC-F1),1F-J-01
185821,シーケンス＆ＩＯ基板ユニット　　　　　,STEC-K4-(SEQ+IO),1F-J-01
185822,インターフェース基板　　　　　　　　　,STEC-CS2 CEIO-F,1F-J-01
240091,ペンダントケーブル（Ｋ２用）フィルタ付,YD-01(1.5M)K2 (W/FILTER),1F-J-01
240302,中継基板　　　　　　　　　　　　　　　,YR-R04 (STEC-K2)VER 3.0,1F-J-01
331121,ペンダントケーブル（１．５Ｍ）　　　　,"HS1-1.5  (STEC-S1,STD)",1F-J-01
331160,インターロック基板ユニット　　　　　　,"70193E-301-0(STEC-S1,STD)",1F-J-01
40576,スイッチングパワーサプライ　　　　　　,ESK50I-1212,1F-J-02
120532,本体中継基板　　　　　　　　　　　　　,MOT401,1F-J-02
151327,スイッチング電源（２４Ｖ）　　　　　　,PBA100F-24-N,1F-J-02
152402,スイッチング電源　　　　　　　　　　　,PLA150F-24,1F-J-02
183132,サーボ基板　　　　　　　　　　　　　　,SVC401B,1F-J-02
184044,ＩＯ基板（カン）　　　　　　　　　　　,STEC-370 IO ASSY,1F-J-02
270186,シリアル通信中継基板　　　　　　　　　,DXC-15 11800-PR04,1F-J-02
331191,ペンダントユニット（銘板無）　　　　　,"PS1-1.5B  (STEC-S1,STD)",1F-J-02
140145,走行体中継基板　　　　　　　　　　　　,OTB480,1F-J-03
152345,電源基板　　　　　　　　　　　　　　　,POWER A (V-08) NA1,1F-J-03
182641,Ｉ／Ｏ基板　　　　　　　　　　　　　　,S1IO PR-000120C,1F-J-03
182778,ドライブ基板　　　　　　　　　　　　　,SCA1D     (STEC-CA1),1F-J-03
240098,中継基板　　　　　　　　　　　　　　　,YR-R04 (STEC-K2)VER 2.0,1F-J-03
282134,ペンダントケーブル（４．５ｍ）　　　　,201859-020-2(STEC-NA1),1F-J-03
10419,ＦＡコンベア　中間スイッチ　　　　　　,BCT-4040MS,1F-J-04
10420,ＦＡコンベア　エンドスイッチ　　　　　,BCT-4040ES,1F-J-04
123462,ベース基板セット（小型用）　　　　　　,MSUB(P+B),1F-J-04
131278,ＣＰＵ基板　　　　　　　　　　　　　　,NA1CPU (V-01),1F-J-04
131526,ＰＰＣ基板　　　　　　　　　　　　　　,NA1PPCA(V-01),1F-J-04
80077,ＩＭサーボユニット　　　　　　　　　　,IM075,1F-J-05
80079,３軸切換基板　　　　　　　　　　　　　,IM-K3,1F-J-05
80347,２軸切換基板　　　　　　　　　　　　　,IM-K2A,1F-J-05
280152,コントロール基板　ＳＴＥＣ－ＡＣＩ　　,24115-PR01C (ACI-C),1F-J-05
123098,バックプレーン基板　　　　　　　　　　,MSUBB,1F-K-01
150848,インターロック基板　　　　　　　　　　,PI450,1F-K-01
152330,インターロック基板　　　　　　　　　　,PI480A,1F-K-01
152738,インターロック基板（リレー付き）　　　,PI480C(WITH RELAY),1F-K-01
180842,サーボ基板（ＤＶ４７６対応）　　　　　,SVCP401,1F-K-01
184591,ペンダント（６１０＿日文）（アフター）,P610-4.5 JPN AFTER,1F-K-01
270186,シリアル通信中継基板　　　　　　　　　,DXC-15 11800-PR04,1F-K-01
123475,制御電源スロット　　　　　　　　　　　,MSUCCSM,1F-K-02
152543,ペンダントユニット（４．５ｍ銘板無し）,P520A-4.5 W/O PANEL LABEL,1F-K-02
182101,デジタルサーボドライバー　　　　　　　,SDC075MDA  750W,1F-K-02
182577,デジタルサーボドライバー　　　　　　　,SDC040LFB,1F-K-02
182765,デジタルサーボドライバー　　　　　　　,SDC010LFC,1F-K-02
182767,デジタルサーボドライバー　　　　　　　,SDC040LFC,1F-K-02
183195,デジタルサーボドライバー（アブソ）　　,SDC040LFE(AB),1F-K-02
151325,ペンダントユニット（４ｍ，銘板無し）　,P480-4,1F-K-03
152281,ペンダントユニット（４．５ｍ．銘板無）,P510-4.5,1F-K-03
152549,ペンダントユニット（６２０Ａ）アフター,P620A-4.5 AFTER,1F-K-03
152678,ペンダントユニット（４．５ｍ銘板無し）,P520B-4.5 W/O PANEL LABEL,1F-K-03
184050,ペンダントユニット（カン）　　　　　　,STEC-370 P UNIT,1F-K-03
72754,ペンダントケーブル（４．５ｍ）ＶｅｒＢ,H510-4.5B(STEC-510.520),1F-K-04
122118,２軸デジタルサーボドライバー　　　　　,MSU2-0104,1F-K-04
122119,２軸デジタルサーボドライバー　　　　　,MSU2-0204,1F-K-04
122492,２軸デジタルサーボドライバー　　　　　,MSUA-12MA,1F-K-04
123868,制御電源スロット　　　　　　　　　　　,MSUDCSM,1F-K-04
123871,デジタルサーボドライバースロット　　　,MSUDD020B,1F-K-04
140061,軸通信中継基板　　　　　　　　　　　　,OT401,1F-K-04
140123,走行体中継基板　　　　　　　　　　　　,OTB470,1F-K-04
152679,ペンダントユニット（８ｍ銘板無し）　　,P520B-8 W/O PANEL LABEL,1F-K-04
123476,制御電源スロット　　　　　　　　　　　,MSUCCS,1F-K-05
123870,デジタルサーボドライバースロット　　　,MSUDD010B,1F-K-05
123872,デジタルサーボドライバースロット　　　,MSUDD040B,1F-K-05
152414,ペンダントユニット（４．５ｍ銘板無し）,P520-4.5,1F-K-05
152721,インターロック基板　　　　　　　　　　,PI480C,1F-K-05
152770,インターロック基板（リレー付き）　　　,PI480D(WITH RELAY),1F-K-05
182768,デジタルサーボドライバー　　　　　　　,SDC075LFC,1F-K-05
183190,デジタルサーボドライバー（インクリ）　,SDC075LFE,1F-K-05
185222,ペンダント（和文）　　　　　　　　　　,STEC-K4-PEN(J),1F-K-05
1920,インシュロックタイ　１０００本入　　　,AB100-W,1F-L-00
1921,インシュロックタイ　１００本入　　　　,AB150-W,1F-L-00
1922,インシュロックタイ　１００本入　　　　,AB200-W,1F-L-00
